Section,Subsection,Name,TL,Mass,Price,AmmoPrice,Species,Skill,Book,Page,Contraband,Category,Law,Notes,Mod
Armour,Armour,Ablat,9,2,Cr75,0,,,CSC 2,16,Weapons,4,2,,
Armour,Armour,Advanced Poly Carapace,13,2,Cr35000,0,,,CSC 2,13,Weapons,4,2,,
Armour,Armour,Armoured Kaftan-10,10,4,Cr600,0,Bwap,,Aliens 3,256,Weapons,4,2,,
Armour,Armour,Armoured Kaftan-12,12,1,Cr900,0,Bwap,,Aliens 3,256,Weapons,4,2,,
Armour,Armour,Armoured Kaftan-7,7,8,Cr300,0,Bwap,,Aliens 3,256,Weapons,4,2,,
Armour,Armour,Ballistic Vest,8,1,Cr500,0,,,CSC 2,11,Weapons,4,3,,
Armour,Armour,Breastplate,1,5,Cr200,0,,,CSC 2,15,Weapons,3,8,,
Armour,Armour,Ceramic Carapace,12,4,Cr12000,0,,,CSC 2,11,Weapons,4,2,,
Armour,Armour,Cloth-10,10,5,Cr500,0,,,CSC 2,11,Weapons,3,4,,
Armour,Armour,Cloth-12,12,2,Cr750,0,,,CSC 2,11,Weapons,3,4,,
Armour,Armour,Cloth-7,7,10,Cr250,0,,,CSC 2,11,Weapons,3,4,,
Armour,Armour,Conduit Bleed,14,8,Cr3500,0,,,CSC 2,17,Weapons,4,2,,
Armour,Armour,Diplo Vest,10,,Cr250,0,,,CSC 2,12,Weapons,4,2,,
Armour,Armour,Dispersion,12,3,Cr2000,0,,,CSC 2,17,Weapons,4,2,,
Armour,Armour,Fireproof Suit,7,1,Cr50,0,,,CSC 2,17,Weapons,1,8,,
Armour,Armour,Flak Jacket-7,7,8,Cr100,0,,,CSC 2,12,Weapons,3,3,,
Armour,Armour,Flak jacket-8,8,6,Cr300,0,,,CSC 2,12,Weapons,3,3,,
Armour,Armour,Flak Shell,9,8,Cr1000,0,,,CSC 2,12,Weapons,3,3,,
Armour,Armour,Full Plate,2,20,Cr1000,0,,,CSC 2,15,Weapons,3,8,,
Armour,Armour,Half-Plate,2,12,Cr800,0,,,CSC 2,15,Weapons,3,8,,
Armour,Armour,Jack,1,1,Cr50,0,,,CSC 2,12,Weapons,3,8,,
Armour,Armour,Lightweight Poly Carapace,11,2,Cr15000,0,,,CSC 2,13,Weapons,4,2,,
Armour,Armour,Mail Hauberk,2,8,Cr500,0,,,CSC 2,16,Weapons,3,8,,
Armour,Armour,Mesh,6,2,Cr150,0,,,CSC 2,13,Weapons,3,5,,
Armour,Armour,Neural Sheath,17,2,Cr80000,0,,,CSC 2,18,Weapons,4,2,,
Armour,Armour,Poly Carapace,10,2,Cr10000,0,,,CSC 2,13,Weapons,4,2,,
Armour,Armour,Post-Apocalyptic,6,3,Cr150,0,,,CSC 2,13,Weapons,4,2,,
Armour,Armour,Protect Suit,9,1,Cr500,0,,,CSC 2,14,Weapons,4,2,,
Armour,Armour,Reflec,10,1,Cr1500,0,,,CSC 2,18,Weapons,3,8,,
Armour,Armour,Tactical Riot Armour,7,6,Cr600,0,,,CSC 2,14,Weapons,4,3,,
Armour,Armour Modifications,Additional Padding,1,5,Cr50,0,,,CSC 2,27,Weapons,1,0,,
Armour,Armour Modifications,Armoured Fins,10,,Cr150,0,Bwap,,Aliens 3,255,Weapons,1,0,,
Armour,Armour Modifications,Camouflage,3,,Cr25,0,,,CSC 2,27,Weapons,3,3,,
Armour,Armour Modifications,"Chameleon, IR",12,,Cr5000,0,,,CSC 2,27,Weapons,3,3,,
Armour,Armour Modifications,"Chameleon, Visilight",13,,Cr50000,0,,,CSC 2,27,Weapons,3,3,,
Armour,Armour Modifications,Computer Weave-10,10,,Cr500,0,,,CSC 2,27,Weapons,1,0,,
Armour,Armour Modifications,Computer Weave-11,11,,Cr1000,0,,,CSC 2,27,Weapons,1,0,,
Armour,Armour Modifications,Computer Weave-13,13,,Cr5000,0,,,CSC 2,27,Weapons,1,0,,
Armour,Armour Modifications,Coolant Rig,8,2,Cr100,0,,,CSC 2,27,Weapons,1,0,,
Armour,Armour Modifications,Environment Reader,8,,Cr100,0,,,CSC 2,27,Weapons,1,0,,
Armour,Armour Modifications,Extended Life Support,10,,Cr10000,0,,,CSC 2,27,Weapons,1,0,,
Armour,Armour Modifications,Eye Protection,6,,Cr50,0,,,CSC 2,27,Weapons,1,0,,
Armour,Armour Modifications,Friend or Foe HUD,11,,Cr4000,0,,,CSC 2,27,Weapons,1,0,,
Armour,Armour Modifications,Gyro-Stabilizer Rig-12,12,1,Cr10000,0,,,CSC 2,27,Weapons,1,0,,
Armour,Armour Modifications,Gyro-Stabilizer Rig-14,14,1,Cr50000,0,,,CSC 2,27,Weapons,1,0,,
Armour,Armour Modifications,Magnetic Grapples,8,,Cr100,0,,,CSC 2,28,Weapons,3,3,,
Armour,Armour Modifications,Medkit-10,10,,Cr5000,0,,,CSC 2,28,Weapons,1,0,,
Armour,Armour Modifications,Medkit-11,11,,Cr10000,0,,,CSC 2,28,Weapons,1,0,,
Armour,Armour Modifications,Minefield Boots,8,3,Cr250,0,,,CSC 2,28,Weapons,1,0,,
Armour,Armour Modifications,Null Shield,17,,Cr150000,0,,,CSC 2,28,Weapons,1,0,,
Armour,Armour Modifications,Personalized Image,2,,Cr10,0,,,CSC 2,28,Weapons,1,0,,
Armour,Armour Modifications,Psionic Shield Helmet,12,2,Cr4000,0,,,CSC 2,28,Weapons,1,0,,
Armour,Armour Modifications,Self-Sealing,11,,Cr2000,0,,,CSC 2,28,Weapons,1,0,,
Armour,Armour Modifications,Smart Fabric,10,,Cr1000,0,,,CSC 2,28,Weapons,1,0,,
Armour,Armour Modifications,Submarine Functionality,9,6,,0,,,CSC 2,28,Weapons,1,0,,
Armour,Armour Modifications,Swimming Fins,8,,Cr100,0,Bwap,,Aliens 3,255,Weapons,1,0,,
Armour,Armour Modifications,Tactical Video Suite,7,2,Cr75,0,,,CSC 2,28,Weapons,1,0,,
Armour,Armour Modifications,Tail Mount-10,10,2,Cr50,0,Bwap,,Aliens 3,257,Weapons,1,0,,
Armour,Armour Modifications,Tail Mount-14,14,2,Cr75,0,Bwap,,Aliens 3,257,Weapons,1,0,,
Armour,Armour Modifications,Thruster Pack-12,12,,Cr14000,0,,,CSC 2,28,Weapons,1,0,,
Armour,Armour Modifications,Thruster Pack-14,14,,Cr20000,0,,,CSC 2,28,Weapons,1,0,,
Armour,Armour Modifications,Thruster Pack-9,9,,Cr2000,0,,,CSC 2,28,Weapons,1,0,,
Armour,Armour Mods,Smart Fabric,10,0,Cr1000,,,,CSC2023,25,Weapons,,,,
Armour,Armour Mods,"Submarine Functionality, Advanced",15,6,,,,,CSC2023,25,Weapons,,,x Cr500,
Armour,Armour Mods,"Submarine Functionality, Basic",9,6,,,,,CSC2023,25,Weapons,,,x Cr200,
Armour,Armour Mods,"Submarine Functionality, Improved",12,6,,,,,CSC2023,25,Weapons,,,x Cr300,
Armour,Armour Mods,"Tactical Video Suite, Advanced",10,0,Cr500,,,,CSC2023,26,Weapons,,,,
Armour,Armour Mods,"Tactical Video Suite, Basic",7,2,Cr100,,,,CSC2023,26,Weapons,,,,
Armour,Armour Mods,"Tactical Video Suite, Improved",8,1,Cr200,,,,CSC2023,26,Weapons,,,,
Armour,Armour Mods,"Thruster Pack, Advanced",14,2,Cr20000,,,,CSC2023,26,Weapons,,,,
Armour,Armour Mods,"Thruster Pack, Basic",7,6,Cr2000,,,,CSC2023,26,Weapons,,,,
Armour,Armour Mods,"Thruster Pack, Improved",12,6,Cr14000,,,,CSC2023,26,Weapons,,,,
Armour,Armour Mods,"Vacc Suit Accessory Pack, Advanced",14,2,Cr8000,,,,CSC2023,26,Weapons,,,,
Armour,Armour Mods,"Vacc Suit Accessory Pack, Basic",9,10,Cr6000,,,,CSC2023,26,Weapons,,,,
Armour,Armour Mods,"Vacc Suit Accessory Pack, Improved",12,4,Cr6000,,,,CSC2023,26,Weapons,,,,
Armour,Battle Dress,"Artillery Battle Dress, Advanced",15,180,Cr640000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Artillery Battle Dress, Basic",13,180,Cr275000,,,Vacc Suit 2,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Artillery Battle Dress, Improved",14,180,Cr320000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,Artillery Battle Dress-13,13,180,Cr275000,0,,Vacc Suit 2,CSC 2,31,Weapons,5,1,,Military
Armour,Battle Dress,Artillery Battle Dress-14,14,180,Cr320000,0,,Vacc Suit 1,CSC 2,31,Weapons,5,1,,Military
Armour,Battle Dress,"Assault Battle Dress, Advanced",15,140,Cr660000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Assault Battle Dress, Basic",13,140,Cr300000,,,Vacc Suit 2,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Assault Battle Dress, Improved",14,140,Cr330000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,Assault Battle Dress-13,13,140,Cr300000,0,,Vacc Suit 2,CSC 2,31,Weapons,5,1,,Military
Armour,Battle Dress,Assault Battle Dress-14,14,140,Cr330000,0,,Vacc Suit 1,CSC 2,31,Weapons,5,1,,Military
Armour,Battle Dress,"Battle Dress, Advanced",15,100,Cr440000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Battle Dress, Basic",13,100,Cr200000,,,Vacc Suit 2,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Battle Dress, Improved",14,100,Cr220000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,Battle Dress-13,13,100,Cr200000,0,,Vacc Suit 2,CSC 2,32,Weapons,5,1,,Military
Armour,Battle Dress,Battle Dress-14,14,100,Cr220000,0,,Vacc Suit 1,CSC 2,32,Weapons,5,1,,Military
Armour,Battle Dress,"Ceramic Battle Dress, Advanced",15,100,Cr880000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Ceramic Battle Dress, Basic",13,100,Cr400000,,,Vacc Suit 2,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Ceramic Battle Dress, Improved",14,100,Cr440000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,Ceramic Battle Dress-13,13,100,Cr400000,0,,Vacc Suit 2,CSC 2,32,Weapons,5,1,,Military
Armour,Battle Dress,Ceramic Battle Dress-14,14,100,Cr440000,0,,Vacc Suit 1,CSC 2,32,Weapons,5,1,,Military
Armour,Battle Dress,Combat Pioneer Battle Dress,13,120,Cr270000,0,,Vacc Suit 2,CSC 2,33,Weapons,5,1,,Military
Armour,Battle Dress,"Combat Pioneer Battle Dress, Advanced",15,120,Cr600000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Combat Pioneer Battle Dress, Basic",13,120,Cr270000,,,Vacc Suit 2,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Combat Pioneer Battle Dress, Improved",14,120,Cr300000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Command Battle Dress, Advanced",15,110,Cr700000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Command Battle Dress, Basic",13,110,Cr325000,,,Vacc Suit 2,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Command Battle Dress, Improved",14,110,Cr350000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,Command Battle Dress-13,13,110,Cr325000,0,,Vacc Suit 2,CSC 2,33,Weapons,5,1,,Military
Armour,Battle Dress,Command Battle Dress-14,14,110,Cr350000,0,,Vacc Suit 1,CSC 2,33,Weapons,5,1,,Military
Armour,Battle Dress,Darrian Battle Dress,15,35,MCr5,,Darrian,Vacc Suit 2,Aliens 3,64,Weapons,4,2,,Military
Armour,Battle Dress,Llyrnian Battle Dress-13,13,125,Cr300000,,Geonee,Vacc Suit 2,Aliens 3,126,Weapons,5,1,,Military
Armour,Battle Dress,Llyrnian Battle Dress-14,14,120,Cr300000,,Geonee,Vacc Suit 1,Aliens 3,126,Weapons,5,1,,Military
Armour,Battle Dress,"Logistics Battle Dress, Advanced",15,220,Cr640000,,,Vacc Suit 2,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Logistics Battle Dress, Basic",13,220,Cr290000,,,Vacc Suit 2,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Logistics Battle Dress, Improved",14,220,Cr320000,,,Vacc Suit 2,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,Logistics Battle Dress-13,13,220,Cr290000,0,,Vacc Suit 2,CSC 2,34,Weapons,5,1,,Military
Armour,Battle Dress,Logistics Battle Dress-14,14,220,Cr320000,0,,Vacc Suit 1,CSC 2,34,Weapons,5,1,,Military
Armour,Battle Dress,Psi-Commando Battle Dress,15,110,MCr1.2,0,,Vacc Suit 1,CSC 2,34,Weapons,5,1,,Military
Armour,Battle Dress,"Psi-Commando Battle Dress, Advanced",16,110,MCr2.4,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Psi-Commando Battle Dress, Basic",15,110,MCr1.2,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Psi-Enhanced Battle Dress, Advanced",15,100,MCr1.76,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Psi-Enhanced Battle Dress, Basic",13,100,Cr800000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Psi-Enhanced Battle Dress, Improved",14,100,Cr880000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,Psi-Enhanced Battle Dress-13,13,100,Cr800000,0,,Vacc Suit 1,CSC 2,35,Weapons,5,1,,Military
Armour,Battle Dress,Psi-Enhanced Battle Dress-14,14,100,Cr880000,0,,Vacc Suit 1,CSC 2,35,Weapons,5,1,,Military
Armour,Battle Dress,"Scout Battle Dress, Advanced",15,90,Cr600000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Scout Battle Dress, Basic",13,90,Cr270000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,"Scout Battle Dress, Improved",14,90,Cr300000,,,Vacc Suit 1,CSC2023,39,Weapons,4,1,,Military
Armour,Battle Dress,Scout Battle Dress-13,13,90,Cr270000,0,,Vacc Suit 1,CSC 2,35,Weapons,5,1,,Military
Armour,Battle Dress,Scout Battle Dress-14,14,90,Cr300000,0,,Vacc Suit 1,CSC 2,35,Weapons,5,1,,Military
Armour,Battle Dress,Special Arm Battle Dress,16,30,,,Darrian,Vacc Suit 1,Aliens 3,64,Weapons,4,2,,Military
Armour,Battle Dress,Type D Battle Dress,13,12,Cr280000,,Dolphin,Vacc Suit 2,Aliens 3,174,Weapons,,,,Military
Armour,Battle Dress,Type D Battle Dress,15,12,Cr300000,,Dolphin,Vacc Suit 1,Aliens 3,174,Weapons,,,,Military
Armour,Battle Dress,Type O Battle Dress-13,13,800,Cr840000,,Orca,,Aliens 3,224,,,,,
Armour,Battle Dress,Type O Battle Dress-15,15,800,Cr900000,,Orca,,Aliens 3,224,,,,,
Armour,Battle Dress,Type OH Battle Dress (heavy assault),14,850,MCr1.2 ,,Orca,,Aliens 3,224,,,,,
Armour,Battle Dress Mods,Active Camouflage,15,0,Cr200000,,,,CSC2023,44,Weapons,4,1,,Military
Armour,Battle Dress Mods,Advanced Life Support,13,0,Cr20000,,,,CSC2023,44,Weapons,4,1,,Military
Armour,Battle Dress Mods,Air Suppression,15,15,,,Darrian,,Aliens 3,66,Weapons,4,2,,Military
Armour,Battle Dress Mods,Anti-Armour Module,15,15,,,Darrian,,Aliens 3,66,Weapons,4,2,,Military
Armour,Battle Dress Mods,"Anti-Missile System, Advanced Laser",15,0,Cr125000,,,,CSC2023,44,Weapons,4,1,,Military
Armour,Battle Dress Mods,"Anti-Missile System, Laser",13,0,Cr75000,,,,CSC2023,44,Weapons,4,1,,Military
Armour,Battle Dress Mods,Anti-Personnel Module,15,15,,,Darrian,,Aliens 3,66,Weapons,4,2,,Military
Armour,Battle Dress Mods,Command Module,15,15,,,Darrian,,Aliens 3,66,Weapons,4,2,,Military
Armour,Battle Dress Mods,Electronics Warfare Module,15,15,,,Darrian,,Aliens 3,66,Weapons,4,2,,Military
Armour,Battle Dress Mods,Enhanced Mobility,14,0,Cr35000,,,,CSC2023,45,Weapons,4,1,,Military
Armour,Battle Dress Mods,Enhanced Strength,14,0,Cr25000,,,,CSC2023,45,Weapons,4,1,,Military
Armour,Battle Dress Mods,Environment Protection (Corrosive),13,0,Cr40000,,,,CSC2023,45,Weapons,4,1,,Military
Armour,Battle Dress Mods,Environment Protection (Insidious),13,0,Cr150000,,,,CSC2023,45,Weapons,4,1,,Military
Armour,Battle Dress Mods,Flight Pack,10,0,Cr50000,,,,CSC2023,45,Weapons,4,1,,Military
Armour,Battle Dress Mods,Flight Pack,13,,Cr50000,,,0,CSC 2,36,Weapons,5,1,,Military
Armour,Battle Dress Mods,Fuel Cells,13,,Cr1000,,,0,CSC 2,36,Weapons,5,1,,Military
Armour,Battle Dress Mods,Fuel Cells,13,0,Cr1000,,,,CSC2023,45,Weapons,4,1,,Military
Armour,Battle Dress Mods,Grav Assist-12,12,,Cr110000,,,0,CSC 2,36,Weapons,5,1,,Military
Armour,Battle Dress Mods,Grav Assist-15,15,,Cr120000,,,0,CSC 2,36,Weapons,5,1,,Military
Armour,Battle Dress Mods,Heavy Mount,13,,Cr10000,,,0,CSC 2,36,Weapons,5,1,,Military
Armour,Battle Dress Mods,Heavy Plating,13,,Cr4000,,,0,CSC 2,36,Weapons,5,1,,Military
Armour,Battle Dress Mods,Heavy Plating,13,0,Cr4000,,,,CSC2023,45,Weapons,4,1,,Military
Armour,Battle Dress Mods,High Velocity Targeting Array,15,,Cr750000.00,,,0,CSC 2,36,Weapons,5,1,,Military
Armour,Battle Dress Mods,High Velocity Targeting Array,15,0,Cr750000,,,,CSC2023,46,Weapons,4,1,,Military
Armour,Battle Dress Mods,Integrated Toolkit,13,,Cr3000,,,0,CSC 2,36,Weapons,5,1,,Military
Armour,Battle Dress Mods,Integrated Toolkit,13,0,Cr3000,,,,CSC2023,46,Weapons,4,1,,Military
Armour,Battle Dress Mods,Integrated Weapon Mount (Close Combat),10,0,Cr1000,,,,CSC2023,46,Weapons,4,1,,Military
